SigUFPrincipal;SigTipoGeracao;DscOrigemCombustivel;DscFonteCombustivel;NomFonteCombustivel;MdaGarantiaFisicaKw;DscTipoOutorga
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4420.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;110.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;188300.0;Concessão
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3960.0;Concessão
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;110.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
RJ;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;17370.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;5300.0;Concessão
AL;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;10.0;Concessão
PA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
ES;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;13800.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4660.0;Concessão
RJ;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;321100.0;Concessão
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
RJ;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Autorização
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;125500.0;Concessão
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;256600.0;Concessão
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;27700.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2360.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3750.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1480.0;Autorização
